date,sku,zip_code,volume
2025-04-30,SKU_001,13278,25
2025-04-30,SKU_001,23434,37
2025-04-30,SKU_001,24592,29
2025-04-30,SKU_001,28289,34
2025-04-30,SKU_001,39256,31
2025-04-30,SKU_001,42098,28
2025-04-30,SKU_001,46048,43
2025-04-30,SKU_001,81482,43
2025-04-30,SKU_001,93810,38
2025-04-30,SKU_001,98696,30
2025-04-30,SKU_002,13278,46
2025-04-30,SKU_002,23434,28
2025-04-30,SKU_002,24592,41
2025-04-30,SKU_002,28289,36
2025-04-30,SKU_002,39256,37
2025-04-30,SKU_002,42098,45
2025-04-30,SKU_002,46048,39
2025-04-30,SKU_002,81482,38
2025-04-30,SKU_002,93810,33
2025-04-30,SKU_002,98696,44
2025-04-30,SKU_003,13278,46
2025-04-30,SKU_003,23434,26
2025-04-30,SKU_003,24592,39
2025-04-30,SKU_003,28289,38
2025-04-30,SKU_003,39256,23
2025-04-30,SKU_003,42098,26
2025-04-30,SKU_003,46048,44
2025-04-30,SKU_003,81482,44
2025-04-30,SKU_003,93810,37
2025-04-30,SKU_003,98696,43
2025-04-30,SKU_004,13278,37
2025-04-30,SKU_004,23434,32
2025-04-30,SKU_004,24592,28
2025-04-30,SKU_004,28289,36
2025-04-30,SKU_004,39256,39
2025-04-30,SKU_004,42098,31
2025-04-30,SKU_004,46048,30
2025-04-30,SKU_004,81482,36
2025-04-30,SKU_004,93810,51
2025-04-30,SKU_004,98696,43
2025-04-30,SKU_005,13278,40
2025-04-30,SKU_005,23434,33
2025-04-30,SKU_005,24592,36
2025-04-30,SKU_005,28289,34
2025-04-30,SKU_005,39256,32
2025-04-30,SKU_005,42098,27
2025-04-30,SKU_005,46048,36
2025-04-30,SKU_005,81482,39
2025-04-30,SKU_005,93810,40
2025-04-30,SKU_005,98696,33
2025-04-30,SKU_006,13278,40
2025-04-30,SKU_006,23434,43
2025-04-30,SKU_006,24592,30
2025-04-30,SKU_006,28289,38
2025-04-30,SKU_006,39256,31
2025-04-30,SKU_006,42098,48
2025-04-30,SKU_006,46048,39
2025-04-30,SKU_006,81482,40
2025-04-30,SKU_006,93810,32
2025-04-30,SKU_006,98696,42
2025-04-30,SKU_007,13278,29
2025-04-30,SKU_007,23434,16
2025-04-30,SKU_007,24592,38
2025-04-30,SKU_007,28289,40
2025-04-30,SKU_007,39256,36
2025-04-30,SKU_007,42098,51
2025-04-30,SKU_007,46048,39
2025-04-30,SKU_007,81482,44
2025-04-30,SKU_007,93810,40
2025-04-30,SKU_007,98696,32
2025-04-30,SKU_008,13278,20
2025-04-30,SKU_008,23434,32
2025-04-30,SKU_008,24592,33
2025-04-30,SKU_008,28289,37
2025-04-30,SKU_008,39256,33
2025-04-30,SKU_008,42098,39
2025-04-30,SKU_008,46048,27
2025-04-30,SKU_008,81482,28
2025-04-30,SKU_008,93810,40
2025-04-30,SKU_008,98696,37
2025-04-30,SKU_009,13278,41
2025-04-30,SKU_009,23434,27
2025-04-30,SKU_009,24592,33
2025-04-30,SKU_009,28289,38
2025-04-30,SKU_009,39256,43
2025-04-30,SKU_009,42098,39
2025-04-30,SKU_009,46048,36
2025-04-30,SKU_009,81482,34
2025-04-30,SKU_009,93810,34
2025-04-30,SKU_009,98696,46
2025-04-30,SKU_010,13278,35
2025-04-30,SKU_010,23434,36
2025-04-30,SKU_010,24592,34
2025-04-30,SKU_010,28289,27
2025-04-30,SKU_010,39256,44
