date,sku,zip_code,partner_id,allocated_volume,tier,cost_per_package,on_time_percent,score
2025-04-30,SKU_001,13278,Partner_03,25,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,23434,Partner_03,37,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,24592,Partner_03,29,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,28289,Partner_03,34,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,39256,Partner_03,31,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,42098,Partner_03,28,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,46048,Partner_03,43,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,81482,Partner_03,43,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,93810,Partner_03,38,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_001,98696,Partner_03,30,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,13278,Partner_03,46,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,23434,Partner_03,28,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,24592,Partner_03,41,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,28289,Partner_03,36,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,39256,Partner_03,37,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,42098,Partner_03,45,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,46048,Partner_03,39,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,81482,Partner_03,38,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,93810,Partner_03,33,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_002,98696,Partner_03,44,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,13278,Partner_03,46,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,23434,Partner_03,26,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,24592,Partner_03,39,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,28289,Partner_03,38,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,39256,Partner_03,23,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,42098,Partner_03,26,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,46048,Partner_03,44,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,81482,Partner_03,44,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,93810,Partner_03,37,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_003,98696,Partner_03,43,Tier 1,0.65,98.65,0.033
2025-04-30,SKU_004,13278,Partner_03,37,Tier 1,0.65,98.65,0.033
